"population","spawn_year","sex","origin","age_best","fork_length","weight","fecundity","disposition"
"CAT",2010,"F","Hat",4,744,4.40000009536743,4295,"S"
"CAT",2010,"F","Hat",4,775,4.80000019073486,5041,"S"
"CAT",2010,"F","Hat",4,746,4.19999980926514,4003,"S"
"CAT",2010,"F","Hat",4,713,4.19999980926514,3701,"S"
"CAT",2010,"F","Hat",4,755,4.30000019073486,3811,"S"
"CAT",2010,"F","Hat",4,726,4.5,4117,"S"
"CAT",2010,"F","Hat",4,722,3.90000009536743,3475,"S"
"CAT",2010,"F","Hat",4,743,4.30000019073486,4281,"S"
"CAT",2010,"F","Hat",4,740,4.40000009536743,4662,"S"
"CAT",2010,"F","Hat",4,827,5.69999980926514,4972,"S"
"CAT",2010,"F","Hat",4,730,3.70000004768372,3413,"S"
"CAT",2010,"F","Hat",4,778,4.69999980926514,4164,"S"
"CAT",2010,"F","Hat",4,747,4,3795,"S"
"CAT",2010,"F","Hat",4,702,3.5,4318,"S"
"CAT",2010,"F","Hat",4,771,4.90000009536743,4786,"S"
"CAT",2010,"F","Hat",4,739,4.19999980926514,3566,"S"
"CAT",2010,"F","Hat",4,771,4.19999980926514,3222,"S"
"CAT",2010,"F","Hat",4,749,4.19999980926514,4317,"S"
"CAT",2010,"F","Hat",5,803,5.19999980926514,4339,"S"
"CAT",2010,"F","Nat",4,723,4,1591,"S"
"CAT",2010,"F","Nat",4,721,4.09999990463257,5144,"S"
"CAT",2010,"F","Nat",4,666,3.40000009536743,3375,"S"
"CAT",2010,"F","Nat",4,703,4,4083,"S"
"CAT",2010,"F","Nat",4,687,3.40000009536743,3447,"S"
"CAT",2010,"F","Nat",4,683,3.20000004768372,4254,"S"
"CAT",2010,"F","Nat",4,726,4.19999980926514,3384,"S"
"CAT",2010,"F","Nat",4,710,4,3613,"S"
"CAT",2010,"F","Nat",4,743,4.19999980926514,4095,"S"
"CAT",2010,"F","Nat",5,856,6.5,5880,"S"
"CAT",2010,"F","Nat",5,813,5,4275,"S"
"CAT",2011,"F","Hat",4,709,3.15000009536743,3394,"S"
"CAT",2011,"F","Hat",4,788,4.40000009536743,5181,"S"
"CAT",2011,"F","Hat",4,810,4.75,4776,"S"
"CAT",2011,"F","Hat",4,800,4.94999980926514,5290,"S"
"CAT",2011,"F","Hat",4,711,3.5,3686,"S"
"CAT",2011,"F","Hat",4,660,2.15000009536743,2334,"S"
"CAT",2011,"F","Hat",4,746,3.34999990463257,3621,"S"
"CAT",2011,"F","Hat",4,742,3.79999995231628,3893,"S"
"CAT",2011,"F","Hat",4,706,3.59999990463257,3832,"S"
"CAT",2011,"F","Hat",4,731,3.59999990463257,3989,"S"
"CAT",2011,"F","Hat",4,723,3.90000009536743,4894,"S"
"CAT",2011,"F","Hat",4,735,3.90000009536743,4984,"S"
"CAT",2011,"F","Hat",4,685,3,3953,"S"
"CAT",2011,"F","Hat",4,715,3.90000009536743,3697,"S"
"CAT",2011,"F","Hat",4,790,4.59999990463257,4204,"S"
"CAT",2011,"F","Hat",4,705,3.5,2853,"S"
"CAT",2011,"F","Hat",4,760,4.5,4667,"S"
"CAT",2011,"F","Hat",4,741,4,3414,"S"
"CAT",2011,"F","Hat",4,725,3.59999990463257,4400,"S"
"CAT",2011,"F","Hat",5,843,5,3597,"S"
"CAT",2011,"F","Nat",4,698,2.59999990463257,2329,"S"
