"population","year","sex","prespawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
