population,trapyear,assigned,HOR-3,HOR-4,HOR-5,NOR-3,NOR-4,NOR-5
UGR,2016,NOR-5,0,0,0.097,0,0,0.903
UGR,2017,HOR-3,1,0,0,0,0,0
UGR,2017,HOR-4,0,1,0,0,0,0
UGR,2017,HOR-5,0,0,1,0,0,0
UGR,2017,NOR-3,0.097,0,0,0.903,0,0
UGR,2017,NOR-4,0,0.097,0,0,0.903,0
UGR,2017,NOR-5,0,0,0.097,0,0,0.903
UGR,2018,HOR-3,1,0,0,0,0,0
UGR,2018,HOR-4,0,1,0,0,0,0
UGR,2018,HOR-5,0,0,1,0,0,0
UGR,2018,NOR-3,0.097,0,0,0.903,0,0
UGR,2018,NOR-4,0,0.097,0,0,0.903,0
UGR,2018,NOR-5,0,0,0.097,0,0,0.903
UGR,2019,HOR-3,1,0,0,0,0,0
UGR,2019,HOR-4,0,1,0,0,0,0
UGR,2019,HOR-5,0,0,1,0,0,0
UGR,2019,NOR-3,0.097,0,0,0.903,0,0
UGR,2019,NOR-4,0,0.097,0,0,0.903,0
UGR,2019,NOR-5,0,0,0.097,0,0,0.903
UGR,2020,HOR-3,1,0,0,0,0,0
UGR,2020,HOR-4,0,1,0,0,0,0
UGR,2020,HOR-5,0,0,1,0,0,0
UGR,2020,NOR-3,0.097,0,0,0.903,0,0
UGR,2020,NOR-4,0,0.097,0,0,0.903,0
UGR,2020,NOR-5,0,0,0.097,0,0,0.903
UGR,2021,HOR-3,1,0,0,0,0,0
UGR,2021,HOR-4,0,1,0,0,0,0
UGR,2021,HOR-5,0,0,1,0,0,0
UGR,2021,NOR-3,0.097,0,0,0.903,0,0
UGR,2021,NOR-4,0,0.097,0,0,0.903,0
UGR,2021,NOR-5,0,0,0.097,0,0,0.903
UGR,2022,HOR-3,1,0,0,0,0,0
UGR,2022,HOR-4,0,1,0,0,0,0
UGR,2022,HOR-5,0,0,1,0,0,0
UGR,2022,NOR-3,0.097,0,0,0.903,0,0
UGR,2022,NOR-4,0,0.097,0,0,0.903,0
UGR,2022,NOR-5,0,0,0.097,0,0,0.903
