population,trap_year,trap_date,count,sex,origin,fork_length,disposition,age_designation,age_best,age_cwt,age_pit,age_scale,age_length,recapture,oppunch,notes
CAT,2001,2001-06-10,1,F,Nat,720,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-10,1,M,Hat,370,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-10,1,M,Nat,589,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,"Nose bump 2"" scar on back of head"
CAT,2001,2001-06-10,1,F,Nat,703,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"2.5"" mark on head above eyes, could be head burn. Small scar on tail rt side"
CAT,2001,2001-06-14,1,M,Hat,465,removed,Adult,3,3,NA,NA,3,FALSE,,Ding on head w/fungus
CAT,2001,2001-06-14,1,F,Nat,760,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Dark mark top back
CAT,2001,2001-06-14,1,M,Nat,660,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-14,1,F,Nat,695,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-14,1,M,Nat,709,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-14,1,M,Nat,738,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Fresh ding on nose
CAT,2001,2001-06-14,1,M,Hat,495,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-14,1,M,Nat,428,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,
CAT,2001,2001-06-14,1,M,Hat,444,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-14,1,M,Hat,520,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-14,1,M,Hat,505,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-14,1,M,Hat,440,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-14,1,M,Nat,702,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-15,1,M,Hat,495,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-15,1,M,Nat,705,removed,Adult,4,NA,NA,NA,4,FALSE,,Nick on dorsal fin.  Lost PITtag.  WA jawtag - red. Jumpout from holding tank at LKG. Collected 6/24
CAT,2001,2001-06-15,1,M,Hat,461,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-15,1,M,Hat,515,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-15,1,M,Hat,431,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-17,1,M,Nat,732,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Lg round sore on left side. Scrape on nose.
CAT,2001,2001-06-17,1,M,Hat,449,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-17,1,M,Nat,691,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"Raw spot lower rt jaw approx 1.5"" long"
CAT,2001,2001-06-17,1,F,Nat,709,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Sm scrape front of dorsal fin
CAT,2001,2001-06-17,1,M,Nat,753,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Lg open wound - mid right side. Sm scrape on dorsal fin.
CAT,2001,2001-06-17,1,F,Nat,732,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2001,2001-06-17,1,M,Nat,675,removed,Adult,4,NA,NA,NA,4,FALSE,,Scrape on dorsal side above tail
CAT,2001,2001-06-17,1,M,Nat,448,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,Old scar on neck - operc to operc
CAT,2001,2001-06-17,1,F,Nat,617,removed,Adult,4,NA,NA,NA,4,FALSE,,Jaw and nose scraped
CAT,2001,2001-06-18,1,M,Hat,432,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-06-19,1,M,Hat,508,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-19,1,M,Nat,672,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2001,2001-06-21,1,M,Nat,419,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,"R-S black mark, ventral red mark"
CAT,2001,2001-06-21,1,M,Nat,499,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,nose scrape
CAT,2001,2001-06-21,1,F,Nat,695,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"Fungus on rt side of tail, dime size, and lower rt side of operc.  "
CAT,2001,2001-06-22,1,M,Nat,722,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-22,1,F,Nat,716,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2001,2001-06-22,1,M,Hat,510,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-06-22,1,M,Nat,530,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-06-22,1,M,Hat,480,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-06-23,1,F,Nat,925,removed,Adult,5,NA,NA,NA,5,FALSE,,NOT SURE ABOUT LAST 3 DIGITS OF PIT TAG NUMBER
CAT,2001,2001-06-23,1,M,Nat,775,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Left eye bloodshot
CAT,2001,2001-06-23,1,F,Nat,728,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-29,1,M,Hat,441,removed,Adult,3,3,NA,NA,3,FALSE,,"Nose erosion, sm scar btw pec fins - possibly head burn"
CAT,2001,2001-06-29,1,M,Nat,718,removed,Adult,4,NA,NA,NA,4,FALSE,,"Fungus on left nose, quarter size.  Scar left nare, black mark dorsal to ventral behind head"
